"Attachments","ID","Razon Social","RUC","Grupo Empresa","Tipo Facturacion","Nombre Comercial","Sector"
"0","1","LAYHER PERU SAC","20517439623","Layher","Facturación recurrente","Jose Incio","Minería"
"0","2","HYBRIDE IT S.A.C.","20604633070","IBIT","Gasto iBit",,"Integrador"
"0","4","TS NET S.A.","20381041957","EVOL","Facturación ocasional","testing","Integrador"
"0","5","NIX MEDIA S.A.C:","20600060849","NIX MEDIA","Facturación ocasional","test-update","Servicios"
"0","6","COPPERFIELD PERU SOCIEDAD ANONIMA CERRADA","20566013844","PALTARUMI","Facturación pyme",,"Minería"
"0","7","PALTARUMI SOCIEDAD ANONIMA CERRADA - PALTARUMI S.A.C.","20548379840","PALTARUMI","Facturación pyme",,"Minería"
"0","8","WWIN PLANNERS SOCIEDAD ANONIMA CERRADA","20602103499","WWIN","Facturación ocasional",,"Servicios"
"0","9","FIRST PEOPLE CONSULTING E.I.R.L. - FIRST PEOPLEC E.I.R.L.","20603908288","FIRST PEOPLE","Facturación pyme",,"Servicios"
"0","10","SOFTLINE INTERNATIONAL PERU S.A.C.","20543312232","NOVENTIQ","Integrador",,"Integrador"
"0","11","MINERA CHINALCO PERÚ S.A.","20506675457","MINERA CHINALCO","Facturación recurrente",,"Minería"
"0","12","LOS PORTALES S.A.","20301837896","LOS PORTALES","Facturación recurrente",,"Construcción"
"0","13","JUST 4 FUN SOCIEDAD ANONIMA CERRADA - JUST 4 FUN S.A.C.","20563760894","MAXIMIZE","Facturación pyme",,"Servicios"
"0","14","GESTION ENERGIA Y TECNOLOGIA S.A.C.","20602176194","GETEC","Facturación pyme",,"Integrador"
"0","15","VOYANT S.A.C.","20607096571","VOYANT","Facturación pyme",,"Energía"
"0","16","ECO GOLD SOCIEDAD ANONIMA CERRADA","20605634274","PALTARUMI","Facturación pyme",,"Minería"
"0","17","UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C. O UTP S.A.C.","20462509236","UTP","Facturación recurrente","UTP S.A.C.","Educación"
"0","18","KOMATSU-MITSUI MAQUINARIAS PERU S.A.","20302241598","KOMATSU","Facturación recurrente","KOMATSU - MITSUI MAQUINARIAS","Minería"
"0","19","PERU LEISURE TRAVEL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - PLT E.I.R.L.","20600631366","PLT","Facturación pyme",,"Servicios"
"1","20","NOVENTIQ INTERNATIONAL PERU S.A.C.","20543312232","NOVENTIQ","Integrador",,"Integrador"
"0","21","GRUPO DE INVERSIONES Y CONTRATACIONES PASTAZA S.A.C - GICPA SAC","20601433541","GICPA","Facturación ocasional",,"Servicios"
"0","22","ASOCIACION DE EMPRESAS INMOBILIARIAS DEL PERU - ASEI","20552213832","ASEI","Facturación ocasional",,"Integrador"
"0","23","CENTRO DE SISTEMAS Y NEGOCIOS SOCIEDAD ANONIMA - CENTRO DE SISTEMAS Y NEGOCIOS S.A","20512613218","CENTRO","Facturación ocasional",,"Integrador"
"0","24","VIDER SOCIEDAD ANONIMA CERRADA - VIDER S.A.C.","20607408972","V-There","Facturación ocasional",,"Integrador"
"0","25","CLASIFICADORA DE RIESGO PACIFIC CREDIT RATING SAC","20262276407","PCR","Facturación ocasional",,"Financiero"
"0","26","MARCO PERUANA S.A","20100006538","MARCO PERUANA","Facturación ocasional",,"Servicios"
"0","27","PROTIVITI MEMBER FIRM PERU S.A.C","20504950868","PROTIVITI","Integrador",,"Integrador"
"0","28","ADEXUS PERU S.A","20261898706","ADEXUS","Integrador",,"Integrador"
"0","29","SEAFAIR PERU S.A.C.","20522017133","SEA FAIR","Facturación ocasional",,"Servicios"
"0","30","Italtel Peru S.A.C.","20518257723","ITALTEL","Facturación ocasional",,"Integrador"
"0","31","Perales Huancaruna S.A.C.","20131495006","Perhusac","Facturación ocasional","Perales - test","Agroindustria"
"0","32","Mercurio Consultores Asociados S.A.C.","20543142485","Cca Consultores","Facturación ocasional",,"Servicios"
"0","33","BIBIBO CONSULTORIA Y CAPACITACIONES S.A.C.","20555899506","Intedya","Facturación ocasional",,"Servicios"
"0","34","DISTRIBUIDORA CUMMINS PERU SAC","20543725821","KOMATSU","Facturación ocasional",,"Minería"
"0","35","HITACHI ENERGY PERU S.A.","20604716331","HITACHI","Facturación ocasional",,"Energía"
"0","36","ALICORP SAA","20100055237","ALICORP","Facturación ocasional","ALICORP","Consumo Masivo"
"0","37","GRUPO ANDRICK",,"ANDRICK","Facturación ocasional",,"Servicios"
"0","38","Redbit Solutions","20545265711","Redbit","Facturación ocasional",,"Integrador"
"0","39","Freno S A","20100019516","Frenosa","Facturación ocasional",,"Consumo Masivo"
"0","41","Pedro Becerra - SOLGAS","20100176450","SOLGAS","Facturación ocasional",,"Energía"
"0","42","LABORATORIOS BAGO DEL PERU S.A","20160641810","Bagó","Facturación ocasional","BAGÓ","Salud"
"0","43","COMPARTAMOS FINANCIERA S.A.","20369155360",,"Facturación ocasional","COMPARTAMOS FINANCIERA","Servicios"
"0","44","FALABELLA PERU S.A","20260172035","Grupo Falabella","Eventual","Falabella","Servicios"
"0","45","SOLGAS S.A.","20100176450",,"Facturación recurrente","SOLGAS","Energía"
"0","46","Compensation Outsourcing S.A.C.","20460486018",,"Facturación ocasional","Compensa","Servicios"
"0","47","IEB Translation Services S.A.",,"IEB Global","Facturación ocasional","IEB Global","Internacional"
"0","48","GLOBAL LEAN S.L.","B86471877","Global Lean","Facturación ocasional","GLOBAL LEAN SL","Internacional"
"0","49","Rocketbot Perú SAC","20603845928","ROCKETBOT","Facturación recurrente","Rocketbot","Integrador"
"0","50","Gestion Energia y Tecnologia S.A.C.","20602176194",,"Facturación ocasional","Getec Peru","Energía"
"0","51","ASSETEC SOCIEDAD ANONIMA CERRADA - ASSETEC","20518003381",,"Facturación ocasional","Assetec","Integrador"
"0","52","CERTERO SAC","20524625505",,"Facturación ocasional",,"Servicios"
"0","57","ORGANISMO SUPERVISOR DE LA INVERSION EN INFRAESTRUCTURA DE TRANSPORTE DE USO PUB LICO - OSITRAN","20420248645",,"Facturación ocasional","OSITRAN","Público"
"0","58","TECNOFARMA","20101260373","TECNOFARMA","Facturación recurrente","Tecnofarma","Salud"
"0","59","AMERICA MOVIL DEL PERU",,"Claro","Facturación ocasional","Claro","Telecomunicaciones"
"0","60","Rash Peru S.R.L","20378890161","Coolbox","Facturación recurrente","Coolbox","Consumo Masivo"
"0","61","SERVICIOS AUXILIARES DE TELECOMUNICACION DEL PERU S.A.C.","20551672655","SATEL","Facturación recurrente","SATEL","Energía"
"0","62","Khipu Travel","10101010","Khipu Travel","Facturación ocasional","Khipu Travel","Servicios"
"0","63","Yanapumas EIRL","20605965718","Yanapumas","Facturación ocasional","Yanapumas","Servicios"
"0","64","INGEM.PE","20204040","INGEM","Facturación recurrente","INGEM","Servicios"
"0","65","GESTION Y TRANSPORTE DE RESIDUOS SOCIEDAD ANONIMA CERRADA - GYTRES S.A.C","20558226979","Gytres","Facturación pyme","Gytres","Servicios"
"0","66","INDUSTRIAS DEL ESPINO S.A","20163901197","Industrias del Espino","Facturación ocasional","Industrias del Espino","Agroindustria"
"0","67","IGNITE LABS SAC","20612973530","iLabs","Facturación ocasional","iLabs","Servicios"
